Model,CVI_Type,K,CVI_Value,BCVI,Alpha
KMeans,SILHOUETTE,2,0.6136717753846307,0.05366251189562324,5.0
KMeans,SILHOUETTE,3,0.621597554411684,0.09394020442263545,10.0
KMeans,SILHOUETTE,4,0.6095775838808531,0.126062572080534,15.0
KMeans,SILHOUETTE,5,0.5802811984650521,0.15112103995609363,20.0
KMeans,SILHOUETTE,6,0.5885819109394517,0.19155203351892466,25.0
KMeans,SILHOUETTE,7,0.5831644950748122,0.15229994879972308,20.0
KMeans,SILHOUETTE,8,0.5788233690810395,0.11348793245322329,15.0
KMeans,SILHOUETTE,9,0.573010297990132,0.07407407407407407,10.0
KMeans,SILHOUETTE,10,0.5895499258878519,0.04379968279916856,5.0
KMeans,CALINSKI_HARABASZ,2,24940.577706753884,0.037037037037037035,5.0
KMeans,CALINSKI_HARABASZ,3,32154.126128910597,0.07527974964302352,10.0
KMeans,CALINSKI_HARABASZ,4,47345.99953957083,0.11485596290039977,15.0
KMeans,CALINSKI_HARABASZ,5,60982.31303484952,0.15417217920811227,20.0
KMeans,CALINSKI_HARABASZ,6,77601.55467853257,0.19398696340252752,25.0
KMeans,CALINSKI_HARABASZ,7,90425.49352152136,0.1590933249892805,20.0
KMeans,CALINSKI_HARABASZ,8,101745.3799311834,0.12394829860895323,15.0
KMeans,CALINSKI_HARABASZ,9,106424.26688690281,0.08769329273913758,10.0
KMeans,CALINSKI_HARABASZ,10,126030.15047436209,0.053933191471528585,5.0
KMeans,STARCZEWSKI,2,1.6766288773300277,0.037037037037037035,5.0
KMeans,STARCZEWSKI,3,7.66432094092872,0.07485437995632602,10.0
KMeans,STARCZEWSKI,4,16.49220322497935,0.1130418516518101,15.0
KMeans,STARCZEWSKI,5,30.83660607747814,0.15194822695880303,20.0
KMeans,STARCZEWSKI,6,66.15968593856486,0.19358850790051996,25.0
KMeans,STARCZEWSKI,7,74.7233273819952,0.1576674701033952,20.0
KMeans,STARCZEWSKI,8,105.37711898826667,0.12462518323881824,15.0
KMeans,STARCZEWSKI,9,110.11705950870837,0.08820584721752148,10.0
KMeans,STARCZEWSKI,10,170.45152855002624,0.05903149593576894,5.0
KMeans,WIROONSRI,2,0.5817199357971388,0.037037037037037035,5.0
KMeans,WIROONSRI,3,0.8269749947495907,0.08040111402187551,10.0
KMeans,WIROONSRI,4,0.8947726304574826,0.11918718062561146,15.0
KMeans,WIROONSRI,5,0.9381156286114471,0.15734237148157046,20.0
KMeans,WIROONSRI,6,0.9615103744509557,0.19498294139628783,25.0
KMeans,WIROONSRI,7,0.9667659207129068,0.1580814858689204,20.0
KMeans,WIROONSRI,8,0.9768098259854116,0.12130355944987632,15.0
KMeans,WIROONSRI,9,0.977161777073212,0.08427560197515983,10.0
KMeans,WIROONSRI,10,0.982981778373885,0.047388708143661126,5.0
KMeans,DAVIES_BOULDIN,2,0.5923161574328913,0.037037037037037035,5.0
KMeans,DAVIES_BOULDIN,3,0.49035073518356026,0.08218168783015958,10.0
KMeans,DAVIES_BOULDIN,4,0.4775634474351937,0.12023548513518405,15.0
KMeans,DAVIES_BOULDIN,5,0.4714789727590406,0.15775631922316946,20.0
KMeans,DAVIES_BOULDIN,6,0.4670728006927505,0.19514370582448312,25.0
KMeans,DAVIES_BOULDIN,7,0.4692359273902727,0.15793467130651473,20.0
KMeans,DAVIES_BOULDIN,8,0.4724627411331048,0.12064105945310767,15.0
KMeans,DAVIES_BOULDIN,9,0.49707711425703965,0.08164685080107893,10.0
KMeans,DAVIES_BOULDIN,10,0.46169476497281997,0.04742318338926545,5.0
GMM,SILHOUETTE,2,0.42969072762138005,0.06445924029502272,5.0
GMM,SILHOUETTE,3,0.1068512805065294,0.08836267558907895,10.0
GMM,SILHOUETTE,4,0.06013609368193505,0.12349926748353433,15.0
GMM,SILHOUETTE,5,0.006322793560186339,0.15834709728895596,20.0
GMM,SILHOUETTE,6,-0.17890786806546358,0.1878486681302692,25.0
GMM,SILHOUETTE,7,-0.18973001008829746,0.15037136982837096,20.0
GMM,SILHOUETTE,8,-0.16814219641300537,0.11421255802014897,15.0
GMM,SILHOUETTE,9,-0.24437942554209535,0.07407407407407407,10.0
GMM,SILHOUETTE,10,-0.2004279719611658,0.03882504929054484,5.0
GMM,CALINSKI_HARABASZ,2,5428.545853061839,0.05925623356897296,5.0
GMM,CALINSKI_HARABASZ,3,5161.7867817323895,0.09491465144123404,10.0
GMM,CALINSKI_HARABASZ,4,3490.84563198303,0.12331621272564972,15.0
GMM,CALINSKI_HARABASZ,5,2065.676928312844,0.15298793364381283,20.0
GMM,CALINSKI_HARABASZ,6,2203.4058962445033,0.19073675826426406,25.0
GMM,CALINSKI_HARABASZ,7,1365.6771644318048,0.14937031312573407,20.0
GMM,CALINSKI_HARABASZ,8,2019.2357143753397,0.1157108869709249,15.0
GMM,CALINSKI_HARABASZ,9,1129.1915542196618,0.07407407407407407,10.0
GMM,CALINSKI_HARABASZ,10,1631.4910026514415,0.0396329361853334,5.0
GMM,STARCZEWSKI,2,1.0984039141799853,0.037037037037037035,5.0
GMM,STARCZEWSKI,3,3.115421153248438,0.07424231723912096,10.0
GMM,STARCZEWSKI,4,4.519525767844086,0.11139647325751366,15.0
GMM,STARCZEWSKI,5,110.69621225068,0.1572899054914073,20.0
GMM,STARCZEWSKI,6,139.15284767028425,0.19670056349550688,25.0
GMM,STARCZEWSKI,7,50.22235630049557,0.1522456685208065,20.0
GMM,STARCZEWSKI,8,345.9972457139814,0.1398797659552323,15.0
GMM,STARCZEWSKI,9,104.2562907751316,0.08267866557129415,10.0
GMM,STARCZEWSKI,10,138.87936240651072,0.0485296034320812,5.0
GMM,WIROONSRI,2,0.35519412792432664,0.04260063348421907,5.0
GMM,WIROONSRI,3,0.36265952391950823,0.08006498467059951,10.0
GMM,WIROONSRI,4,0.4558142169476493,0.12243413248037498,15.0
GMM,WIROONSRI,5,0.30460268285725167,0.1508159249593934,20.0
GMM,WIROONSRI,6,0.41049458538554867,0.19391414190978523,25.0
GMM,WIROONSRI,7,0.2579952621731701,0.14814814814814814,20.0
GMM,WIROONSRI,8,0.5588373054648839,0.128331103446267,15.0
GMM,WIROONSRI,9,0.3145776741123483,0.07731281254704907,10.0
GMM,WIROONSRI,10,0.5958938111194683,0.05637811835416361,5.0
GMM,DAVIES_BOULDIN,2,1.105648253649732,0.04998408724727334,5.0
GMM,DAVIES_BOULDIN,3,1.8673829305307141,0.08680673731680123,10.0
GMM,DAVIES_BOULDIN,4,2.4004067091021506,0.12369375709065407,15.0
GMM,DAVIES_BOULDIN,5,47.10759148294369,0.14814814814814814,20.0
GMM,DAVIES_BOULDIN,6,32.23630591247173,0.1893706449170048,25.0
GMM,DAVIES_BOULDIN,7,26.249366432447122,0.15401860639551232,20.0
GMM,DAVIES_BOULDIN,8,23.03646582480863,0.11788582649561956,15.0
GMM,DAVIES_BOULDIN,9,17.196055828659457,0.08249254787747377,10.0
GMM,DAVIES_BOULDIN,10,9.577771060220513,0.047599644511512766,5.0
Hierarchical,SILHOUETTE,2,0.5804092935481953,0.04301369467280177,5.0
Hierarchical,SILHOUETTE,3,0.6058871473078253,0.09606543691962882,10.0
Hierarchical,SILHOUETTE,4,0.5709010068066882,0.1111111111111111,15.0
Hierarchical,SILHOUETTE,5,0.5962346333736476,0.16407219595815684,20.0
Hierarchical,SILHOUETTE,6,0.5827941251104506,0.19266088488331698,25.0
Hierarchical,SILHOUETTE,7,0.5754953057072679,0.15103600295854935,20.0
Hierarchical,SILHOUETTE,8,0.578163485880431,0.11567611342863553,15.0
Hierarchical,SILHOUETTE,9,0.5812408208062904,0.08057340775774825,10.0
Hierarchical,SILHOUETTE,10,0.5848279611776284,0.04579115231005136,5.0
Hierarchical,CALINSKI_HARABASZ,2,21126.2820655981,0.037037037037037035,5.0
Hierarchical,CALINSKI_HARABASZ,3,27531.66708456781,0.07517256338961839,10.0
Hierarchical,CALINSKI_HARABASZ,4,42198.75238804063,0.11472492721003018,15.0
Hierarchical,CALINSKI_HARABASZ,5,55783.073996108375,0.1540916028404051,20.0
Hierarchical,CALINSKI_HARABASZ,6,74655.32187738929,0.1943651295804804,25.0
Hierarchical,CALINSKI_HARABASZ,7,84988.21222525061,0.1591001280436048,20.0
Hierarchical,CALINSKI_HARABASZ,8,91897.38806021817,0.1232479777559906,15.0
Hierarchical,CALINSKI_HARABASZ,9,103113.48431015515,0.08813444131356017,10.0
Hierarchical,CALINSKI_HARABASZ,10,120774.60904471838,0.05412619282927334,5.0
Hierarchical,STARCZEWSKI,2,1.78566409751291,0.037037037037037035,5.0
Hierarchical,STARCZEWSKI,3,9.63039589290008,0.07501248129310682,10.0
Hierarchical,STARCZEWSKI,4,20.311661927623568,0.11332723915181526,15.0
Hierarchical,STARCZEWSKI,5,25.811905258748894,0.1510222296005164,20.0
Hierarchical,STARCZEWSKI,6,65.81935792038344,0.19284506217168057,25.0
Hierarchical,STARCZEWSKI,7,75.79924506432891,0.15700184518933522,20.0
Hierarchical,STARCZEWSKI,8,122.51646198002274,0.12555324313647248,15.0
Hierarchical,STARCZEWSKI,9,127.54681149513006,0.08911794959078213,10.0
Hierarchical,STARCZEWSKI,10,186.0809031757248,0.0590829128292541,5.0
Hierarchical,WIROONSRI,2,0.4954634231234778,0.037037037037037035,5.0
Hierarchical,WIROONSRI,3,0.7825743248706123,0.08014551592169238,10.0
Hierarchical,WIROONSRI,4,0.8861713627136555,0.11937328618070753,15.0
Hierarchical,WIROONSRI,5,0.9328047918380112,0.15739646533690702,20.0
Hierarchical,WIROONSRI,6,0.9618105806581095,0.1950468784561265,25.0
Hierarchical,WIROONSRI,7,0.9642015546143121,0.15806040257593135,20.0
Hierarchical,WIROONSRI,8,0.976016646861815,0.1212732154925827,15.0
Hierarchical,WIROONSRI,9,0.9795708274687214,0.08431133756911277,10.0
Hierarchical,WIROONSRI,10,0.9834277404574543,0.04735586142990274,5.0
Hierarchical,DAVIES_BOULDIN,2,0.5795872279011554,0.037037037037037035,5.0
Hierarchical,DAVIES_BOULDIN,3,0.4341010630087552,0.08532565674742047,10.0
Hierarchical,DAVIES_BOULDIN,4,0.46764119285296946,0.1197687732965812,15.0
Hierarchical,DAVIES_BOULDIN,5,0.4443046117278153,0.15861061061849152,20.0
Hierarchical,DAVIES_BOULDIN,6,0.46082988930025787,0.1943696187313085,25.0
Hierarchical,DAVIES_BOULDIN,7,0.4788131924096943,0.1559417922551154,20.0
Hierarchical,DAVIES_BOULDIN,8,0.4757813348077041,0.11913923247224087,15.0
Hierarchical,DAVIES_BOULDIN,9,0.46082198634887217,0.08325911881722046,10.0
Hierarchical,DAVIES_BOULDIN,10,0.45660570188383004,0.04654816002458456,5.0
FuzzyCMeans,SILHOUETTE,2,0.6130095269856785,0.05563169614920968,5.0
FuzzyCMeans,SILHOUETTE,3,0.6207504411137441,0.09643357741243018,10.0
FuzzyCMeans,SILHOUETTE,4,0.6040116334713433,0.12532958584960135,15.0
FuzzyCMeans,SILHOUETTE,5,0.583463930740551,0.15237311324326397,20.0
FuzzyCMeans,SILHOUETTE,6,0.5879678308376202,0.1916006515564074,25.0
FuzzyCMeans,SILHOUETTE,7,0.5830007897881448,0.15214786161125662,20.0
FuzzyCMeans,SILHOUETTE,8,0.5747769599044374,0.1111111111111111,15.0
FuzzyCMeans,SILHOUETTE,9,0.5827803787452034,0.07796658918454914,10.0
FuzzyCMeans,SILHOUETTE,10,0.5755352037305017,0.03740581388217053,5.0
FuzzyCMeans,CALINSKI_HARABASZ,2,24921.725227189945,0.037037037037037035,5.0
FuzzyCMeans,CALINSKI_HARABASZ,3,32116.69631156481,0.07531497932547455,10.0
FuzzyCMeans,CALINSKI_HARABASZ,4,47139.360883160734,0.11494295149460755,15.0
FuzzyCMeans,CALINSKI_HARABASZ,5,61047.4770266169,0.15437869926405917,20.0
FuzzyCMeans,CALINSKI_HARABASZ,6,77584.58301526537,0.1942678647424245,25.0
FuzzyCMeans,CALINSKI_HARABASZ,7,90410.04137074242,0.15944281416624934,20.0
FuzzyCMeans,CALINSKI_HARABASZ,8,101582.23846554407,0.12433262824258617,15.0
FuzzyCMeans,CALINSKI_HARABASZ,9,110661.92680467552,0.08886155065263798,10.0
FuzzyCMeans,CALINSKI_HARABASZ,10,108325.04359559191,0.0514214750749237,5.0
FuzzyCMeans,STARCZEWSKI,2,1.7042625167305603,0.037037037037037035,5.0
FuzzyCMeans,STARCZEWSKI,3,7.73582646131367,0.07470846788288588,10.0
FuzzyCMeans,STARCZEWSKI,4,17.52180713676061,0.11277478449163844,15.0
FuzzyCMeans,STARCZEWSKI,5,29.106889286163423,0.15103032877782066,20.0
FuzzyCMeans,STARCZEWSKI,6,63.61207151696023,0.19169658606026344,25.0
FuzzyCMeans,STARCZEWSKI,7,73.76915775663721,0.15572786110367867,20.0
FuzzyCMeans,STARCZEWSKI,8,101.8981090584253,0.12164939877764161,15.0
FuzzyCMeans,STARCZEWSKI,9,157.19691499839826,0.0904286343434193,10.0
FuzzyCMeans,STARCZEWSKI,10,267.06015030952614,0.06494690152561496,5.0
FuzzyCMeans,WIROONSRI,2,0.529295390917999,0.037037037037037035,5.0
FuzzyCMeans,WIROONSRI,3,0.8423175293127786,0.08106981591370147,10.0
FuzzyCMeans,WIROONSRI,4,0.8973179487944749,0.11933605909487358,15.0
FuzzyCMeans,WIROONSRI,5,0.9435208886445433,0.15740568712077949,20.0
FuzzyCMeans,WIROONSRI,6,0.958895385794374,0.1947863292891528,25.0
FuzzyCMeans,WIROONSRI,7,0.966115970350692,0.15791066532862158,20.0
FuzzyCMeans,WIROONSRI,8,0.9766273823724517,0.121108548176968,15.0
FuzzyCMeans,WIROONSRI,9,0.9812355734262643,0.0841744997500193,10.0
FuzzyCMeans,WIROONSRI,10,0.982752219678007,0.04717135828884677,5.0
FuzzyCMeans,DAVIES_BOULDIN,2,0.5910377742406943,0.037037037037037035,5.0
FuzzyCMeans,DAVIES_BOULDIN,3,0.491322120359235,0.08195196551362528,10.0
FuzzyCMeans,DAVIES_BOULDIN,4,0.4789870734480518,0.11996351514407712,15.0
FuzzyCMeans,DAVIES_BOULDIN,5,0.46796680169790406,0.15787119285890808,20.0
FuzzyCMeans,DAVIES_BOULDIN,6,0.46768868782886774,0.19493020188111312,25.0
FuzzyCMeans,DAVIES_BOULDIN,7,0.4693611709023911,0.1577610327306632,20.0
FuzzyCMeans,DAVIES_BOULDIN,8,0.4740905634658663,0.12035035685418807,15.0
FuzzyCMeans,DAVIES_BOULDIN,9,0.47007354957239156,0.08363067820705422,10.0
FuzzyCMeans,DAVIES_BOULDIN,10,0.4712079465415065,0.0465040197733339,5.0
